x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-10.4400E-03,+1.5118345E+00,-11.1169E-03,-698.1644E-03,-9.8219E-03
-10.4300E-03,+1.5062761E+00,-60.7884E-03,-189.4735E-03,-7.3103E-03
-10.4200E-03,+1.5397489E+00,+0.0E+00,-251.0458E-03,-12.4519E-03
-10.4100E-03,+1.5397489E+00,+66.9456E-03,+156.0087E-03,-7.5625E-03
-10.4000E-03,+1.4772863E+00,+0.0E+00,-251.0458E-03,-9.1931E-03
-10.3900E-03,+1.5314409E+00,+0.0E+00,-251.0458E-03,-9.5385E-03
-10.3800E-03,+1.5269578E+00,+41.3634E-03,-251.0458E-03,-11.2229E-03
-10.3700E-03,+1.5277043E+00,+0.0E+00,-10.1526E-03,-10.6048E-03
-10.3600E-03,+1.5363413E+00,-60.1304E-03,+282.1059E-03,-14.0465E-03
-10.3500E-03,+1.5345195E+00,-56.4867E-03,-146.4569E-03,-9.3724E-03
-10.3400E-03,+1.4866698E+00,+0.0E+00,-643.1719E-03,-13.1595E-03
-10.3300E-03,+1.5062761E+00,+0.0E+00,-31.6608E-03,-8.9336E-03
-10.3200E-03,+1.5708895E+00,+0.0E+00,+371.7663E-03,-8.0335E-03
-10.3100E-03,+1.4854130E+00,-54.3359E-03,+166.2159E-03,-9.7025E-03
-10.3000E-03,+1.4913342E+00,-29.8838E-03,+119.5720E-03,-10.7113E-03
-10.2900E-03,+1.5633279E+00,+47.1579E-03,-448.9225E-03,-11.8986E-03
-10.2800E-03,+1.5075329E+00,+0.0E+00,-276.1814E-03,-13.3389E-03
-10.2700E-03,+1.5136564E+00,-52.1851E-03,+940.2608E-03,-9.0772E-03
-10.2600E-03,+1.5062761E+00,+0.0E+00,-251.0458E-03,-9.4874E-03
-10.2500E-03,+1.5309305E+00,-31.6719E-03,+242.0418E-03,-6.8386E-03
-10.2400E-03,+1.4729847E+00,+0.0E+00,-243.7911E-03,-8.0335E-03
-10.2300E-03,+1.5062761E+00,+33.1229E-03,+249.2965E-03,-11.7120E-03
-10.2200E-03,+1.5062761E+00,+0.0E+00,-578.6471E-03,-8.0620E-03
-10.2100E-03,+1.5397489E+00,+51.4596E-03,-251.0458E-03,-11.7405E-03
-10.2000E-03,+1.5053821E+00,-65.1575E-03,+400.5293E-03,-11.8356E-03
-10.1900E-03,+1.5302178E+00,+19.0622E-03,+227.7882E-03,-6.1090E-03
-10.1800E-03,+1.5091396E+00,-36.3363E-03,+55.0471E-03,-8.8747E-03
-10.1700E-03,+1.4996085E+00,+0.0E+00,-117.6940E-03,-9.6391E-03
-10.1600E-03,+1.5377795E+00,-63.0067E-03,-211.6566E-03,-8.1123E-03
-10.1500E-03,+1.5185359E+00,+45.7326E-03,-251.0458E-03,-11.1356E-03
-10.1400E-03,+1.5205053E+00,+0.0E+00,-535.6305E-03,-7.8329E-03
-10.1300E-03,+1.4839877E+00,-11.1844E-03,-139.2022E-03,-7.5861E-03
-10.1200E-03,+1.4788931E+00,+0.0E+00,-251.0458E-03,-11.6848E-03
-10.1100E-03,+1.5078491E+00,+0.0E+00,-17.4072E-03,-7.1618E-03
-10.1000E-03,+1.5062761E+00,-14.3303E-03,-251.0458E-03,-11.8107E-03
-10.0900E-03,+1.5352321E+00,-57.9121E-03,-160.7105E-03,-9.3724E-03
-10.0800E-03,+1.4810439E+00,-8.2406E-03,-251.0458E-03,-10.7113E-03
-10.0700E-03,+1.5062761E+00,+0.0E+00,+163.2634E-03,-9.3724E-03
-10.0600E-03,+1.5276705E+00,-24.1568E-03,-9.4777E-03,-11.1944E-03
-10.0500E-03,+1.5062761E+00,-60.0629E-03,+349.5832E-03,-12.5632E-03
-10.0400E-03,+1.4549176E+00,-10.3914E-03,-712.6738E-03,-8.6570E-03
